iter	Passed	Remaining
402	15564	23057
403	15597	23010
404	15628	22960
405	15667	22922
406	15700	22875
407	15745	22845
408	15798	22828
409	15834	22785
410	15865	22736
411	15899	22691
412	15934	22647
413	15968	22603
414	16001	22556
415	16037	22513
416	16070	22468
417	16105	22424
418	16134	22372
419	16169	22329
420	16199	22278
421	16233	22234
422	16264	22185
423	16299	22143
424	16338	22104
425	16378	22068
426	16408	22018
427	16451	21986
428	16490	21949
429	16525	21905
430	16554	21854
431	16590	21813
432	16622	21766
433	16651	21715
434	16682	21668
435	16717	21624
436	16750	21580
437	16782	21534
438	16815	21488
439	16846	21441
440	16880	21397
441	16910	21348
442	16943	21303
443	16978	21261
444	17013	21218
445	17048	21176
446	17083	21134
447	17117	21090
448	17148	21044
449	17185	21004
450	17221	20964
451	17255	20919
452	17286	20873
453	17318	20827
454	17351	20783
455	17382	20737
456	17414	20691
457	17447	20647
458	17482	20606
459	17516	20562
460	17550	20519
461	17597	20492
462	17629	20447
463	17661	20402
464	17692	20355
465	17727	20314
466	17758	20268
467	17791	20224
468	17822	20178
469	17864	20145
470	17899	20103
471	17931	20059
472	17963	20014
473	17996	19970
474	18026	19924
475	18057	19878
476	18086	19830
477	18115	19783
478	18147	19739
479	18181	19696
480	18217	19657
481	18249	19612
482	18282	19569
483	18313	19524
484	18346	19481
485	18417	19479
486	18469	19455
487	18504	19414
488	18535	19369
489	18568	19326
490	18604	19286
491	18638	19244
492	18670	19200
493	18705	19159
494	18739	19118
495	18772	19075
496	18806	19033
497	18842	18993
498	18877	18953
499	18913	18913
500	18946	18870
501	18980	18829
502	19010	18784
503	19043	18741
504	19077	18700
505	19109	18656
506	19142	18614
507	19178	18574
508	19212	18533
509	19248	18493
510	19280	18450
511	19311	18405
512	19349	18369
513	19380	18324
514	19411	18280
515	19445	18239
516	19481	18200
517	19520	18163
518	19554	18123
519	19591	18084
520	19624	18042
521	19655	17998
522	19687	17956
523	19721	17914
524	19756	17874
525	19789	17833
526	19827	17795
527	19859	17753
528	19890	17709
529	19922	17667
530	19956	17625
531	19989	17584
532	20021	17542
533	20053	17499
534	20088	17460
535	20182	17471
536	20228	17441
537	20261	17399
538	20300	17362
539	20342	17329
540	20383	17294
541	20436	17269
542	20476	17233
543	20517	17198
544	20581	17182
545	20625	17150
546	20695	17139
547	20732	17100
548	20783	17073
549	20835	17047
550	20870	17006
551	20939	16994
552	21011	16983
553	21057	16952
554	21127	16940
555	21159	16897
556	21196	16858
557	21267	16846
558	21308	16810
559	21394	16809
560	21429	16769
561	21507	16762
562	21541	16720
563	21586	16687
564	21661	16677
565	21710	16647
566	21747	16608
567	21808	16587
568	21884	16576
569	21923	16538
570	22020	16544
571	22055	16503
572	22137	16497
573	22173	16456
574	22208	16414
575	22238	16369
576	22273	16328
577	22311	16290
578	22345	16247
579	22379	16205
580	22415	16165
581	22452	16125
582	22488	16085
583	22517	16040
584	22550	15997
585	22583	15955
586	22615	15911
587	22647	15868
588	22677	15824
589	22710	15781
590	22742	15738
591	22774	15695
592	22808	15654
593	22839	15610
594	22869	15566
595	22901	15523
596	22934	15482
597	22968	15440
598	22999	15397
599	23040	15360
600	23086	15327
601	23131	15292
602	23186	15265
603	23290	15270
604	23338	15237
605	23398	15213
606	23435	15173
607	23471	15132
608	23522	15102
609	23561	15063
610	23635	15047
611	23668	15005
612	23702	14963
613	23741	14925
614	23777	14885
615	23813	14845
616	23842	14800
617	23876	14758
618	23907	14715
619	23940	14673
620	23973	14630
621	24006	14588
622	24041	14548
623	24074	14506
624	24105	14463
625	24137	14420
626	24170	14379
627	24200	14335
628	24230	14291
629	24260	14248
630	24290	14204
631	24321	14161
632	24352	14118
633	24385	14077
634	24421	14037
635	24452	13994
636	24482	13951
637	24523	13914
