iter	MultiClass
0	1.246863095
1	1.027035674
2	0.8657489382
3	0.7431113168
4	0.6451524179
5	0.5665712069
6	0.499236755
7	0.443938149
8	0.3956941867
9	0.3547006828
10	0.3189683274
11	0.2873586696
12	0.2602901345
13	0.2358278174
14	0.2137339342
15	0.1934866703
16	0.1756792748
17	0.160694273
18	0.1473452729
19	0.1350864238
20	0.1242222939
21	0.1144402322
22	0.1057109202
23	0.09798245876
24	0.09055146725
25	0.08414521235
26	0.07858267945
27	0.07302131298
28	0.06813821697
29	0.06356314947
30	0.05971312407
31	0.05596416833
32	0.05262963914
33	0.04953395009
34	0.04646650312
35	0.04394187789
36	0.04169350293
37	0.03952441671
38	0.03740196681
39	0.03542495955
40	0.03408102236
41	0.03256199276
42	0.03121131634
43	0.02991844487
44	0.02898379043
45	0.02793180196
46	0.02672173573
47	0.02573108624
48	0.02476382771
49	0.02381559276
50	0.02305434763
51	0.02222250266
52	0.02150529241
53	0.02100214212
54	0.02028555758
55	0.01966972566
56	0.01904664751
57	0.01864866445
58	0.01806453064
59	0.01755491559
60	0.01721508251
61	0.01676325757
62	0.0164184902
63	0.01608862572
64	0.01578376145
65	0.01547247434
66	0.01514489014
67	0.01480829553
68	0.01437525316
69	0.01415255826
70	0.01380611685
71	0.01351281511
72	0.01326266894
73	0.01297849769
74	0.0126699169
75	0.01245795367
76	0.01220866479
77	0.01202874369
78	0.01181994264
79	0.01163378633
80	0.01135715396
81	0.011193185
82	0.01099329019
83	0.01081941844
84	0.0106504675
85	0.01048650578
86	0.01033797729
87	0.01020065394
88	0.01002063325
89	0.00989954238
90	0.009784147566
91	0.009693946725
92	0.009603282851
93	0.009459358127
94	0.009339714607
95	0.009251741698
96	0.009142669459
97	0.008998952913
98	0.008872517957
99	0.008782163214
100	0.008641868159
101	0.008522957578
102	0.008480076857
103	0.008365388692
104	0.008316429155
105	0.008227380946
106	0.008133930655
107	0.008043817104
108	0.007963573732
109	0.007891649136
110	0.007830571216
111	0.007788498233
112	0.007724619802
113	0.007656364599
114	0.007592454782
115	0.007539950225
116	0.007499082397
117	0.007390504286
118	0.007332683501
119	0.007286271265
120	0.007227797868
121	0.007158791592
122	0.007103538454
123	0.007063681058
124	0.007018245617
125	0.006966174886
126	0.006898072916
127	0.006769693221
128	0.006710002743
129	0.006653149806
130	0.006594631771
131	0.006527648386
132	0.006478209306
133	0.006427865692
134	0.006397648186
135	0.006373523055
136	0.006340499052
137	0.00629901491
138	0.006241215603
139	0.006183266094
140	0.006133387373
141	0.006102177763
142	0.006071721122
143	0.00605352441
144	0.00598440672
145	0.005944800016
146	0.00590934034
147	0.005883863249
148	0.00585824341
149	0.005829769979
150	0.005799845763
151	0.005782390425
152	0.005762302541
153	0.005735094451
154	0.005709916843
155	0.005699537109
156	0.00565917724
157	0.005625068548
158	0.005606189628
159	0.005586575786
160	0.005533538756
161	0.005527072728
162	0.005509657452
163	0.005489606972
164	0.005443367901
165	0.005408130418
166	0.005341705194
167	0.005322755614
168	0.005312303206
169	0.005293551717
170	0.005282713198
171	0.005215151319
172	0.005193460764
173	0.005165102333
174	0.005143055575
175	0.005117060493
176	0.00508615786
177	0.005080563229
178	0.005074662137
179	0.005045019657
180	0.005022268802
181	0.005009343803
182	0.004985390642
183	0.004958243243
184	0.004939894614
185	0.004885367205
186	0.004864951421
187	0.004847478721
188	0.004833549927
189	0.004819379887
